COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
0.4347826086956523,0.4615384615384615,0.5972222222222221,0.165938864628821,0.09890109890109887,0.1509433962264151,0.2941176470588236,0.4857142857142856,0.25,0.5285714285714287,0.26315789473684204,0.2158273381294964,0.4968553459119496,0.21052631578947367,0.045454545454545456,0.5121951219512195,0.2666666666666666,0.5333333333333332,3
0.17391304347826098,0.34615384615384603,0.3194444444444444,0.09170305676855894,0.08791208791208792,0.11320754716981132,0.24183006535947704,0.5714285714285714,0.16666666666666674,0.3857142857142855,0.18947368421052624,0.16306954436450835,0.3962264150943395,0.35526315789473684,0.3181818181818182,0.17073170731707318,0.10000000000000052,0.033333333333333215,0
0.4130434782608696,0.07692307692307687,0.2499999999999999,0.13973799126637554,0.1208791208791209,0.07547169811320756,0.065359477124183,0.8285714285714285,0.0,0.2,0.06315789473684208,0.04556354916067143,0.044025157232704386,0.06578947368421051,0.2727272727272727,0.41463414634146345,0.7000000000000002,0.7333333333333334,3
0.4347826086956523,0.1153846153846152,0.3194444444444444,0.15283842794759828,0.10989010989010983,0.11320754716981132,0.130718954248366,0.6857142857142857,0.08333333333333348,0.2571428571428571,0.1473684210526316,0.09112709832134294,0.07547169811320753,0.10526315789473684,0.13636363636363635,0.6585365853658537,0.5666666666666673,0.666666666666667,3
0.2608695652173913,0.4615384615384615,0.43055555555555547,0.20087336244541487,0.17582417582417587,0.11320754716981132,0.20261437908496727,0.5714285714285714,0.16666666666666674,0.4142857142857144,0.21578947368421053,0.1474820143884892,0.4402515723270439,0.17105263157894735,0.09090909090909093,0.07317073170731707,0.3666666666666672,0.5,3
0.4130434782608696,0.5,0.5972222222222221,0.21834061135371186,0.09890109890109887,0.07547169811320756,0.3137254901960784,0.4285714285714286,0.25,0.4285714285714286,0.2894736842105263,0.23741007194244604,0.4716981132075471,0.1578947368421052,0.4545454545454546,0.12195121951219512,0.3333333333333339,0.33333333333333304,2
0.4347826086956523,0.4230769230769231,0.8055555555555554,0.406113537117904,0.1648351648351648,0.16981132075471694,0.4640522875816993,0.2857142857142856,0.4166666666666667,0.4000000000000001,0.3789473684210526,0.3848920863309353,0.270440251572327,0.06578947368421051,0.18181818181818185,0.3414634146341464,0.6333333333333337,0.7666666666666666,2
0.4565217391304346,0.4230769230769231,0.6111111111111109,0.4890829694323144,0.2967032967032968,0.07547169811320756,0.4705882352941175,0.2571428571428571,0.4166666666666667,0.3857142857142855,0.41052631578947374,0.4088729016786571,0.28301886792452824,0.1842105263157895,0.18181818181818185,0.5365853658536586,0.666666666666667,0.5333333333333332,0
0.21739130434782614,0.2692307692307692,0.18055555555555547,0.0436681222707424,0.06593406593406592,0.07547169811320756,0.130718954248366,0.7714285714285714,0.08333333333333348,0.3142857142857143,0.06315789473684208,0.07553956834532374,0.3018867924528301,0.35526315789473684,0.3636363636363637,0.17073170731707318,0.0,0.06666666666666643,3
0.5434782608695654,0.5769230769230769,0.8472222222222221,0.43231441048034935,0.19780219780219774,0.1320754716981132,0.5555555555555556,0.2,0.5,0.4857142857142856,0.4526315789473684,0.4796163069544365,0.4088050314465408,0.11842105263157887,0.09090909090909093,0.12195121951219512,0.4333333333333336,0.5333333333333332,2
0.4782608695652173,0.6153846153846154,0.7222222222222221,0.38864628820960706,0.1648351648351648,0.1509433962264151,0.4313725490196079,0.3142857142857143,0.3333333333333335,0.5142857142857139,0.3684210526315789,0.3525179856115108,0.3899371069182389,0.06578947368421051,0.09090909090909093,0.0,0.7333333333333334,0.833333333333333,1
0.32608695652173925,0.4230769230769231,0.4166666666666666,0.20524017467248912,0.15384615384615385,0.11320754716981132,0.20261437908496727,0.5714285714285714,0.08333333333333348,0.3571428571428571,0.17368421052631575,0.15227817745803354,0.40251572327044016,0.11842105263157887,0.3181818181818182,0.1951219512195122,0.666666666666667,0.7333333333333334,0
0.5869565217391304,0.6923076923076923,0.6805555555555554,0.4148471615720524,0.19780219780219774,0.07547169811320756,0.5816993464052287,0.17142857142857135,0.5,0.5857142857142856,0.468421052631579,0.5251798561151079,0.6037735849056605,0.19736842105263155,0.2727272727272727,0.17073170731707318,0.5666666666666673,0.4000000000000004,0
0.19565217391304346,0.3846153846153846,0.43055555555555547,0.21834061135371186,0.23076923076923075,0.09433962264150944,0.24836601307189546,0.5428571428571427,0.16666666666666674,0.3571428571428571,0.21578947368421053,0.1750599520383693,0.40251572327044016,0.2499999999999999,0.3181818181818182,0.2682926829268293,0.16666666666666696,0.16666666666666696,0
0.28260869565217384,0.5384615384615383,0.4861111111111109,0.26637554585152845,0.23076923076923075,0.07547169811320756,0.2745098039215685,0.4857142857142856,0.16666666666666674,0.4000000000000001,0.2421052631578947,0.20623501199040764,0.5094339622641508,0.19736842105263155,0.3181818181818182,0.07317073170731707,0.4000000000000004,0.4333333333333336,0
0.5217391304347827,0.4230769230769231,0.7638888888888888,0.4279475982532751,0.20879120879120885,0.1320754716981132,0.4967320261437909,0.2571428571428571,0.4166666666666667,0.3714285714285712,0.4526315789473684,0.4100719424460432,0.4150943396226414,0.17105263157894735,0.6818181818181819,0.2682926829268293,0.4666666666666668,0.5333333333333332,2
0.4565217391304346,0.1923076923076923,0.6666666666666665,0.3275109170305677,0.1428571428571429,0.09433962264150944,0.3790849673202614,0.37142857142857133,0.3333333333333335,0.18571428571428567,0.3052631578947368,0.3009592326139089,0.220125786163522,0.09210526315789468,0.09090909090909093,0.6829268292682927,0.6333333333333337,0.7666666666666666,2
